env_id,seed,episodes_logged,mean_reward,final_reward_mean_10,mean_length,mean_violations,success_rate,mean_masked_unsafe,mean_risky_actions,mean_risky_penalty,convergence_episode,convergence_timestep,eval_mean_reward,eval_std_reward,eval_mean_length,eval_mean_violations,eval_success_rate,eval_mean_masked_unsafe,eval_mean_risky_actions,eval_mean_risky_penalty
MiniGrid-LavaGapS5-v0,0,29604,0.8702917848939333,0.7281000000000001,10.167477367923254,0.0,0.9817930009458181,0.0,3.638021888933928,0.03638021888933929,258.0,15881.0,0.06759999999999984,0.6951686414101257,62.6,0.0,0.4,0.0,30.9,0.30900000000000005
MiniGrid-LavaGapS6-v0,0,21053,0.876152329834228,0.9005000000000001,14.29971975490429,0.0,0.9803353441314777,0.0,3.250795611076806,0.032507956110768066,515.0,54391.0,0.7613125,0.49388866328227266,21.95,0.0,0.9,0.0,9.15,0.09150000000000005
MiniGrid-LavaGapS7-v0,0,13311,0.8502861681070895,0.897908163265306,22.61693336338367,0.0,0.9598076778604162,0.0,4.184133423484337,0.04184133423484337,675.0,92478.0,0.647576530612245,0.5349435465111975,57.15,0.0,0.75,0.0,6.5,0.06500000000000003
MiniGrid-LavaGapS5-v0,1,33642,0.8855153974198918,0.9135,8.948605909280067,0.0,0.9938767017418703,0.0,3.3334819570774625,0.03333481957077464,187.0,12749.0,0.9231999999999999,0.004069397989875164,6.2,0.0,1.0,0.0,2.1,0.021
MiniGrid-LavaGapS6-v0,1,23365,0.88713631500107,0.9176249999999999,12.884913331906699,0.0,0.9902846137384977,0.0,3.1361438048362937,0.03136143804836294,258.0,27344.0,0.9251874999999998,0.011112176598218736,8.45,0.0,1.0,0.0,2.2,0.022000000000000002
MiniGrid-LavaGapS7-v0,1,1762,0.049875199796149995,0.3954489795918367,170.77014755959138,0.0,0.1782065834279228,0.0,8.379682179341657,0.08379682179341659,,,0.13834183673469388,0.329374677109,168.05,0.0,0.15,0.0,0.5,0.005
MiniGrid-LavaGapS5-v0,2,30792,0.8758615874253053,0.29369999999999996,9.774292023902312,0.0,0.9846713432060276,0.0,3.463691868017667,0.034636918680176675,405.0,30878.0,0.7848499999999999,0.32972462373926514,20.35,0.0,0.85,0.0,1.7,0.017000000000000005
MiniGrid-LavaGapS6-v0,2,20040,0.8721655439121756,0.81225,15.022055888223553,0.0,0.9743512974051897,0.0,3.138173652694611,0.03138173652694611,466.0,52157.0,0.6448750000000001,0.4353437757967834,48.9,0.0,0.7,0.0,1.95,0.0195
MiniGrid-LavaGapS7-v0,2,11628,0.8395229583061294,0.9137653061224489,25.89017887856897,0.0,0.9476264189886481,0.0,3.6356209150326797,0.03635620915032681,656.0,100968.0,0.8375663265306121,0.2795818620204176,28.95,0.0,0.9,0.0,1.95,0.0195
MiniGrid-LavaGapS5-v0,3,33653,0.8851083410097168,0.8606999999999999,8.945740350043087,0.0,0.9926009568240572,0.0,3.364009152230113,0.03364009152230114,245.0,14767.0,0.5530999999999999,0.4567176261104885,43.6,0.0,0.6,0.0,1.45,0.014500000000000002
MiniGrid-LavaGapS6-v0,3,21688,0.88073081888602,0.919875,13.881224640354112,0.0,0.9845075617853191,0.0,3.0962283290298784,0.03096228329029878,487.0,47044.0,0.925,0.011166355717063653,8.4,0.0,1.0,0.0,2.25,0.022500000000000003
MiniGrid-LavaGapS7-v0,3,4439,0.5934676407170212,0.7320612244897959,67.81121874296012,0.0,0.7564766839378239,0.0,7.080198242847488,0.0708019824284749,873.0,122696.0,0.5087193877551022,0.46734533516679694,94.25,0.0,0.55,0.0,1.35,0.013500000000000002
MiniGrid-LavaGapS5-v0,4,29611,0.8738978082469353,0.8532,10.16608692715545,0.0,0.9846340886832596,0.0,3.307081827699166,0.03307081827699166,491.0,33495.0,0.6918000000000001,0.4051845999047841,29.3,0.0,0.75,0.0,1.95,0.019500000000000007
MiniGrid-LavaGapS6-v0,4,20263,0.8730439100824161,0.899375,14.856487193406702,0.0,0.9759166954547698,0.0,3.1694714504268866,0.03169471450426887,694.0,63939.0,0.6903750000000001,0.3986502814184382,42.5,0.0,0.75,0.0,1.9,0.019000000000000006
MiniGrid-LavaGapS7-v0,4,13569,0.8624820682197265,0.9278163265306121,22.18689660254993,0.0,0.9692681848330754,0.0,3.2566143415137447,0.03256614341513745,616.0,87045.0,0.9310561224489795,0.014201914382808047,10.55,0.0,1.0,0.0,2.05,0.020499999999999997
