env_id,seed,episodes_logged,mean_reward,final_reward_mean_10,mean_length,mean_violations,success_rate,mean_masked_unsafe,convergence_episode,convergence_timestep,eval_mean_reward,eval_std_reward,eval_mean_length,eval_mean_violations,eval_success_rate,eval_mean_masked_unsafe
MiniGrid-LavaCrossingS9N1-v0,0,,,,,,,,,,0.0,0.0,324.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS9N3-v0,0,,,,,,,,,,0.0,0.0,324.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS11N5-v0,0,414.0,0.0,0.0,484.0,0.0,0.0,0.0,,,0.0,0.0,484.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS9N1-v0,1,929.0,0.0,0.0,324.0,0.0,0.0,0.0,,,0.0,0.0,324.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS9N3-v0,1,931.0,0.002366034132951426,0.0,323.3029001074114,0.0,0.004296455424274973,0.0,,,0.0,0.0,324.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS11N5-v0,1,622.0,0.0011413462305014483,0.0,483.4726688102894,0.0,0.001607717041800643,0.0,,,0.0,0.0,484.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS9N1-v0,2,929.0,0.0009388829087429734,0.0,323.7395048439182,0.0,0.002152852529601722,0.0,,,0.0,0.0,324.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS9N3-v0,2,929.0,0.0008073196986006458,0.0,323.7868675995694,0.0,0.002152852529601722,0.0,,,0.0,0.0,324.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS11N5-v0,2,622.0,0.0006480694108580692,0.0,483.7379421221865,0.0,0.001607717041800643,0.0,,,0.0,0.0,484.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS9N1-v0,3,929.0,0.0,0.0,324.0,0.0,0.0,0.0,,,0.0,0.0,324.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS9N3-v0,3,929.0,0.0007624686042339432,0.0,323.76426264800864,0.0,0.001076426264800861,0.0,,,0.0,0.0,324.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS11N5-v0,3,622.0,0.0,0.0,484.0,0.0,0.0,0.0,,,0.0,0.0,484.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS9N1-v0,4,929.0,0.0008611410118406889,0.0,323.767491926803,0.0,0.002152852529601722,0.0,,,0.0,0.0,324.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS9N3-v0,4,929.0,0.0007385480205717021,0.0,323.81162540365983,0.0,0.002152852529601722,0.0,,,0.0,0.0,324.0,0.0,0.0,0.0
MiniGrid-LavaCrossingS11N5-v0,4,622.0,0.0011054715527092024,0.0,483.491961414791,0.0,0.001607717041800643,0.0,,,0.0,0.0,484.0,0.0,0.0,0.0
