env_id,seed,episodes_logged,mean_reward,final_reward_mean_10,mean_length,mean_violations,success_rate,convergence_episode,convergence_timestep,eval_mean_reward,eval_std_reward,eval_mean_length,eval_mean_violations,eval_success_rate
MiniGrid-LavaCrossingS9N1-v0,0,976,-0.03726092896174864,0.0,308.3504098360656,0.07581967213114754,0.0010245901639344263,,,0.0,0.0,324.0,0.0,0.0
MiniGrid-LavaCrossingS9N3-v0,0,1087,-0.0984360625574977,0.0,276.8647654093836,0.1968721251149954,0.0,,,0.0,0.0,324.0,0.0,0.0
MiniGrid-LavaCrossingS11N5-v0,0,808,-0.14356435643564355,-0.1,372.5259900990099,0.2871287128712871,0.0,,,0.0,0.0,484.0,0.0,0.0
MiniGrid-LavaCrossingS9N1-v0,1,978,-0.04033742331288344,0.0,307.5644171779141,0.08282208588957055,0.003067484662576687,,,0.0,0.0,324.0,0.0,0.0
MiniGrid-LavaCrossingS9N3-v0,1,1041,-0.07952556302700395,0.0,288.91162343900095,0.15946205571565802,0.0009606147934678194,,,0.0,0.0,324.0,0.0,0.0
MiniGrid-LavaCrossingS11N5-v0,1,757,-0.12417437252311757,-0.05,397.1571994715984,0.24834874504623514,0.0,,,0.0,0.0,484.0,0.0,0.0
MiniGrid-LavaCrossingS9N1-v0,2,981,-0.04174595084381017,0.0,306.6870540265036,0.0856269113149847,0.0020387359836901123,,,0.0,0.0,324.0,0.0,0.0
MiniGrid-LavaCrossingS9N3-v0,2,1056,-0.07858796296296296,0.0,284.8996212121212,0.16761363636363635,0.013257575757575758,,,0.0,0.0,324.0,0.0,0.0
MiniGrid-LavaCrossingS11N5-v0,2,787,-0.13850063532401524,0.0,382.2185514612452,0.2770012706480305,0.0,,,0.0,0.0,484.0,0.0,0.0
MiniGrid-LavaCrossingS9N1-v0,3,978,-0.04243353783231084,0.0,307.61758691206546,0.08486707566462168,0.0,,,0.0,0.0,324.0,0.0,0.0
MiniGrid-LavaCrossingS9N3-v0,3,1073,-0.0913275344309827,-0.1,280.34948741845295,0.18452935694315004,0.0027958993476234857,,,0.0,0.0,324.0,0.0,0.0
MiniGrid-LavaCrossingS11N5-v0,3,801,-0.14544319600499375,0.0,375.53932584269666,0.2908863920099875,0.0,,,0.0,0.0,484.0,0.0,0.0
MiniGrid-LavaCrossingS9N1-v0,4,980,-0.04035430839002268,0.0,307.14489795918365,0.0836734693877551,0.004081632653061225,,,0.0,0.0,324.0,0.0,0.0
MiniGrid-LavaCrossingS9N3-v0,4,1098,-0.08614652904270391,-0.05,274.06830601092895,0.20491803278688525,0.031876138433515486,,,0.0,0.0,324.0,0.0,0.0
MiniGrid-LavaCrossingS11N5-v0,4,777,-0.1364221364221364,0.0,386.9047619047619,0.2728442728442728,0.0,,,0.0,0.0,484.0,0.0,0.0
