env_id,seed,episodes_logged,mean_reward,final_reward_mean_10,mean_length,mean_violations,success_rate,convergence_episode,convergence_timestep,eval_mean_reward,eval_std_reward,eval_mean_length,eval_mean_violations,eval_success_rate
MiniGrid-LavaGapS5-v0,0,30796,0.8935943629042732,0.9324999999999999,9.775782569164827,0.018379010261072866,0.9709377841278088,356,23583,0.9442000000000002,0.005400000000000005,6.2,0.0,1.0
MiniGrid-LavaGapS6-v0,0,20506,0.8927057934263143,0.946875,14.681264020286745,0.014873695503754999,0.9603043011801424,569,58773,0.9471875000000001,0.00418096505008115,8.45,0.0,1.0
MiniGrid-LavaGapS7-v0,0,14147,0.8838052489674743,0.9421428571428571,21.26874955821022,0.018731886619071183,0.9493178765816074,761,103892,0.9520153061224489,0.003071729424549409,10.45,0.0,1.0
MiniGrid-LavaGapS5-v0,1,36916,0.9014657330154948,0.9189999999999999,8.15510889587171,0.02638422364286488,0.9691190811572218,235,16720,0.5675999999999999,0.4634434593345773,43.6,0.0,0.6
MiniGrid-LavaGapS6-v0,1,24346,0.908972726525918,0.940625,12.365727429557216,0.014129631150907747,0.9769572003614557,257,28938,0.899375,0.2063626586255372,15.3,0.0,0.95
MiniGrid-LavaGapS7-v0,1,15107,0.8923382591932649,0.8426020408163264,19.92784801747534,0.01674720328324618,0.9576355331965314,438,56495,0.7621173469387754,0.38106896173456506,47.45,0.0,0.8
MiniGrid-LavaGapS5-v0,2,30005,0.8837656723879354,0.9334000000000001,10.033494417597067,0.026795534077653723,0.9567072154640893,613,46654,0.9451,0.0056204981985585635,6.1,0.0,1.0
MiniGrid-LavaGapS6-v0,2,21714,0.8991621189094593,0.9262500000000001,13.864373215437045,0.013908077737864972,0.9683153725706917,531,60977,0.9475000000000001,0.0041457809879442585,8.4,0.0,1.0
MiniGrid-LavaGapS7-v0,2,15982,0.8995878015829032,0.9357142857142857,18.833437617319486,0.014015767738706044,0.9642723063446377,596,81856,0.9040816326530612,0.2074276718932539,19.8,0.0,0.95
MiniGrid-LavaGapS5-v0,3,32191,0.8938712373023515,0.9379,9.352179180516293,0.02342269578453605,0.9675685750675654,422,27437,0.9451,0.0056204981985585635,6.1,0.0,1.0
MiniGrid-LavaGapS6-v0,3,23047,0.8979715364255652,0.8375,13.062350848266586,0.022475810300689895,0.9660693365730898,539,44032,0.8996875,0.20643433996975893,15.25,0.0,0.95
MiniGrid-LavaGapS7-v0,3,18539,0.9089769938937332,0.9439795918367349,16.238686013269323,0.017099088408220508,0.9734613517449701,395,50221,0.9520153061224489,0.003071729424549409,10.45,0.0,1.0
MiniGrid-LavaGapS5-v0,4,31842,0.9007727843728409,0.7343,9.454337039130708,0.013755417373280572,0.9728974310658878,440,33195,0.9455499999999999,0.00602058967211685,6.05,0.0,1.0
MiniGrid-LavaGapS6-v0,4,25521,0.9166299322126874,0.9400000000000001,11.79620704517848,0.009874221229575644,0.982053994749422,331,33628,0.946875,0.003697549864437261,8.5,0.0,1.0
MiniGrid-LavaGapS7-v0,4,16920,0.9060005367395185,0.937091836734694,17.792848699763592,0.013002364066193853,0.9739952718676123,482,58379,0.9515561224489796,0.002706847834259295,10.55,0.0,1.0
