env_id,seed,episodes_logged,mean_reward,final_reward_mean_10,mean_length,mean_violations,success_rate,mean_masked_unsafe,convergence_episode,convergence_timestep,eval_mean_reward,eval_std_reward,eval_mean_length,eval_mean_violations,eval_success_rate,eval_mean_masked_unsafe
MiniGrid-LavaGapS5-v0,0,32085,0.9146065139473275,0.6795,9.38288920056101,0.0,0.990525167523765,0.0,300.0,19278.0,0.0955,0.2865,90.5,0.0,0.1,0.0
MiniGrid-LavaGapS6-v0,0,17295,0.8867190662041052,0.9293750000000001,17.40705406186759,0.0,0.9551315409077769,0.0,816.0,77164.0,0.9471875000000001,0.00418096505008115,8.45,0.0,1.0,0.0
MiniGrid-LavaGapS7-v0,0,1538,0.002550025211645125,0.0,195.62873862158648,0.0,0.008452535760728219,0.0,,,0.0,0.0,196.0,0.0,0.0,0.0
MiniGrid-LavaGapS5-v0,1,30244,0.9093750826610236,0.9208000000000001,9.953709826742495,0.0,0.9895847110170612,0.0,351.0,24594.0,0.9442000000000002,0.0054000000000000055,6.2,0.0,1.0,0.0
MiniGrid-LavaGapS6-v0,1,12921,0.8461970822691742,0.929375,23.299589815029798,0.0,0.9181951861311044,0.0,763.0,81677.0,0.9471875000000003,0.00418096505008115,8.45,0.0,1.0,0.0
MiniGrid-LavaGapS7-v0,1,1585,0.03302034378420138,0.0,189.86687697160883,0.0,0.04858044164037855,0.0,,,0.0,0.0,196.0,0.0,0.0,0.0
MiniGrid-LavaGapS5-v0,2,6963,0.5754791038345541,0.5514,43.22432859399684,0.0,0.6449806118052563,0.0,318.0,23973.0,0.80185,0.33686559263302623,20.35,0.0,0.85,0.0
MiniGrid-LavaGapS6-v0,2,2501,0.16696321471411435,0.284375,120.32467013194722,0.0,0.18992403038784486,0.0,,,0.38,0.46540305112880387,89.6,0.0,0.4,0.0
MiniGrid-LavaGapS7-v0,2,2236,0.3200013234274032,0.7260714285714285,134.63819320214668,0.0,0.3823792486583184,0.0,1662.0,251466.0,0.09380102040816327,0.28144895087412675,177.75,0.0,0.1,0.0
MiniGrid-LavaGapS5-v0,3,29559,0.9068284109746608,0.9316000000000001,10.184749145776244,0.0,0.9849115328664705,0.0,403.0,26684.0,0.9451,0.0056204981985585635,6.1,0.0,1.0,0.0
MiniGrid-LavaGapS6-v0,3,7435,0.7263828177538668,0.944375,40.49051782111634,0.0,0.7944855413584399,0.0,488.0,50501.0,0.9475000000000001,0.0041457809879442585,8.4,0.0,1.0,0.0
MiniGrid-LavaGapS7-v0,3,1653,0.07476079360963986,0.12193877551020407,182.03750756200847,0.0,0.10647307924984876,0.0,,,0.047704081632653064,0.2079372710311495,186.7,0.0,0.05,0.0
MiniGrid-LavaGapS5-v0,4,31373,0.912773435756861,0.9315999999999999,9.59586268447391,0.0,0.9913619991712619,0.0,233.0,16073.0,0.9455499999999999,0.00602058967211685,6.05,0.0,1.0,0.0
MiniGrid-LavaGapS6-v0,4,14040,0.8588114316239316,0.930625,21.442592592592593,0.0,0.9282763532763533,0.0,621.0,64897.0,0.946875,0.003697549864437261,8.5,0.0,1.0,0.0
MiniGrid-LavaGapS7-v0,4,3007,0.49829886726888956,0.9375510204081634,100.09777186564682,0.0,0.5793149318257399,0.0,1478.0,201796.0,0.6178571428571429,0.4533905254355993,75.6,0.0,0.65,0.0
