env_id,seed,episodes_logged,mean_reward,final_reward_mean_10,mean_length,mean_violations,success_rate,mean_masked_unsafe,convergence_episode,convergence_timestep,eval_mean_reward,eval_std_reward,eval_mean_length,eval_mean_violations,eval_success_rate,eval_mean_masked_unsafe
MiniGrid-LavaGapS5-v0,0,32496,0.9158116075824715,0.9334,9.264340226489415,0.0,0.9919066962087641,0.0,184,13298,0.9442000000000002,0.005400000000000005,6.2,0.0,1.0,0.0
MiniGrid-LavaGapS6-v0,0,19464,0.9004643187422933,0.9324999999999999,15.467016029593095,0.0,0.9713316892725031,0.0,526,54715,0.7584375,0.3792379025344777,35.45,0.0,0.8,0.0
MiniGrid-LavaGapS7-v0,0,16450,0.9138624154829106,0.9366326530612247,18.30079027355623,0.0,0.9789665653495441,0.0,505,71437,0.6657908163265306,0.4358711265713188,66.25,0.0,0.7,0.0
MiniGrid-LavaGapS5-v0,1,32226,0.9149262707130887,0.9217000000000001,9.3419599081487,0.0,0.9900390988642711,0.0,178,12563,0.9442000000000002,0.0054000000000000055,6.2,0.0,1.0,0.0
MiniGrid-LavaGapS6-v0,1,24704,0.923038273154145,0.92125,12.186285621761659,0.0,0.9920255829015544,0.0,284,29516,0.9471875000000003,0.00418096505008115,8.45,0.0,1.0,0.0
MiniGrid-LavaGapS7-v0,1,5064,0.7048632604700648,0.6600510204081632,59.449052132701425,0.0,0.7784360189573459,0.0,998,149539,0.8086734693877551,0.3397171953301728,38.4,0.0,0.85,0.0
MiniGrid-LavaGapS5-v0,2,30428,0.9098382739581963,0.9315999999999999,9.893814907322204,0.0,0.9888260812409623,0.0,290,25208,0.9451,0.0056204981985585635,6.1,0.0,1.0,0.0
MiniGrid-LavaGapS6-v0,2,21686,0.9109024831688647,0.9275,13.882274278336254,0.0,0.976666974084663,0.0,503,62818,0.9475000000000001,0.0041457809879442585,8.4,0.0,1.0,0.0
MiniGrid-LavaGapS7-v0,2,2414,0.37196773075427353,0.9136734693877552,124.64664457332229,0.0,0.44324772162386084,0.0,1872,258538,0.4763520408163265,0.4763543646395633,103.15,0.0,0.5,0.0
MiniGrid-LavaGapS5-v0,3,33471,0.9184163604314182,0.9442,8.994472827223566,0.0,0.9936661587643034,0.0,173,12357,0.9451,0.0056204981985585635,6.1,0.0,1.0,0.0
MiniGrid-LavaGapS6-v0,3,19955,0.9024956151340516,0.9418749999999999,15.086745176647456,0.0,0.9678777248809822,0.0,338,36153,0.9475000000000001,0.0041457809879442585,8.4,0.0,1.0,0.0
MiniGrid-LavaGapS7-v0,3,14464,0.9016436303503703,0.9504081632653062,20.813053097345133,0.0,0.972137721238938,0.0,582,84800,0.9520153061224489,0.003071729424549409,10.45,0.0,1.0,0.0
MiniGrid-LavaGapS5-v0,4,13835,0.7903233104445248,0.9298,21.760245753523673,0.0,0.861655222262378,0.0,2043,140813,0.9455499999999999,0.00602058967211685,6.05,0.0,1.0,0.0
MiniGrid-LavaGapS6-v0,4,19604,0.9015293435013261,0.85,15.35457049581718,0.0,0.9749540910018364,0.0,694,66136,0.4253125,0.4702080448788068,83.15,0.0,0.45,0.0
MiniGrid-LavaGapS7-v0,4,7571,0.8062013618021506,0.9187244897959183,39.762911108175935,0.0,0.8878615770704003,0.0,719,105108,0.9494897959183672,0.0050301051199454026,11.0,0.0,1.0,0.0
